"productId","title","productType","handle","metaTitle","currentMetaDescription","status"
"gid://shopify/Product/8379054915773","Hanes Men's Cool Cotton Boxer Briefs Pack | VennixStore","Men's Underwear","hanes-mens-boxer-briefs-cotton-pack","Men's Cotton Boxer Briefs Pack | VennixStore","Hanes men's moisture-wicking cotton boxer briefs with no-ride-up fit and Comfort Flex waistband. Multi-pack value. Shop now.","generic"
"gid://shopify/Product/8379407040701","Wirefree Maternity Nursing Bra","Maternity Clothing","1-3pcs-breastfeeding-bras-maternity-nursing-bra-for-feeding-nursing-underwear-clothes-for-pregnant-women-wirefree-breathable-bra","1/3pcs Breastfeeding Bras Maternity Nursing Bra for Feeding Nursing Underwear Clothes for Pregnant Women Wirefree Breathable Bra - Vennix","SPECIFICATIONSBrand Name: NONEBreastfeeding function: NoCN: Guangdong,Hubei,ZhejiangClosure Type: Back Closure,Three Hook-and-eyeColor Style: Natural ColorFeature: NursingGender: WomenHigh-concerned chemical: NoneMaterial: ElastaneModel Number: B-EOrigin: Mainland ChinaSeason: Four SeasonsStrap Type: Adjusted-straps,Convertible strapsSupport Type: Wire Free Material: nylon + spandex Cup shape: 3/4 cup Cup size: B/C/D all in size Color: Black, Nude, Pink, Blue, Purple, Red Brown, Gray Wire: wireless, no rims, soft - Vennix","good"
"gid://shopify/Product/8379407073469","Gathered Lift Full-Cup Bra — Wire-Free Support","Women's Underwear","gathered-side-collection-lifting-underwear-breasts-brassiere-large-size-bra-full-cup-underwear-brassiere-no-steel-ring-bra","Comfortable Large Size Brassiere: Elevate Your Everyday Confidence","Discover the ultimate comfort with our Comfortable Large Size Brassiere! Perfect lifting support and breathable cotton make it a must-have for every wardrobe.","good"
"gid://shopify/Product/8379407204541","Night Reflective Windbreaker Jacket","mens wear","new-size-night-reflective-jackets-double-fabric-windbreaker-hooded-jacket-men-hip-hop-dancer-waterproof-zipper-coats-outwear","Night Reflective Windbreaker Jacket | VennixStore","Men's night reflective hooded windbreaker — waterproof, double-layer polyester, sizes M–5XL. Shop now at VennixStore.","generic"
"gid://shopify/Product/8379407237309","Men's Heavy Cotton Vintage Washed Tee","mens wear","mens-summer-t-shirt-230g-heavy-cotton-vintage-washed-t-shirts-oversized-short-sleeve-loose-streetwear-short-sleeve-tops-tee","Men's Heavy Cotton Vintage Washed Tee | VennixStore","230g heavyweight vintage washed oversized cotton tee for men — breathable streetwear style. Shop now at VennixStore.","generic"
"gid://shopify/Product/8379407270077","Men's Waffle Knit Round Neck T-Shirt","men","mens-new-summer-waffle-round-neck-short-sleeve-t-shirt-comfortable-breathable-short-sleeved-top-for-casual-wear","Men's Waffle Knit Round Neck T-Shirt | VennixStore","Men's breathable waffle knit round neck tee — relaxed fit, perfect for casual summer wear. Shop now at VennixStore.","generic"
"gid://shopify/Product/8379407302845","Men's Baseball Collar Casual Jacket","Men's Outerwear","2024-spring-and-autumn-new-baseball-collar-short-loose-solid-color-jacket-mens-business-casual-thin-coat-trend","2024 Spring and Autumn New Baseball Collar Short Loose Solid Color Jacket Men's Business Casual Thin Coat Trend - Vennix","SPECIFICATIONSApplicable Scene: ShoppingApplicable Season: Four SeasonsBrand Name: NONECN: Guangdong,FujianClosure Type: ZipperCraft of Weaving: TattingCuff Style: Rib sleeveGender: MenHigh-concerned chemical: NoneItem Type: Outerwear & CoatsLining Material: 100% PolyesterMaterial: POLYESTEROrigin: Mainland ChinaOuterwear Type: JACKETSSleeve Style: regularStyle: CasualThickness: Thinwhether full opening: Yes KOUZISHUMASHUMAzangqingchangkouzishenhuise - Vennix","generic"
"gid://shopify/Product/8379407335613","Men's Turtleneck Knit Pullover Sweater","Men's Knitwear","2025-new-mens-high-neck-sweater-solid-color-pullover-knitted-warm-casual-turtleneck-sweatwear-woolen-mens-winter-outdoor-2028","2025 New Men's High Neck Sweater Solid Color Pullover Knitted Warm Casual Turtleneck Sweatwear Woolen Mens Winter Outdoor 2028 - Vennix","SPECIFICATIONSApplicable Scene: CASUALApplicable Season: Autumn And WinterBrand Name: NONECN: Guangdong,ZhejiangCollar: TurtleneckCraft of Weaving: KnitGender: MenHigh-concerned chemical: NoneHooded: NoItem Type: PulloversMaterial: POLYESTEROrigin: China MainlandPattern Type: ArgylePlace Of Origin: China (mainland)Sleeve Length(cm): FullSleeve Style: regularStyle: CasualTechnics: Flat KnittedThickness: STANDARDwhether full opening: No modname=images&cols=1&colspace=10&rowspace=10&align=center - Vennix","good"
"gid://shopify/Product/8379407368381","Men's Elastic Waist Sports Shorts - Comfortable & Stylish for Summer Adventures","Men's Shorts","men-2025-new-summer-beach-new-models-solid-color-fashion-leisure-comfortable-elastic-waist-double-pockets-cool-sports-shorts",,"Shop Men's Elastic Waist Sports Shorts - Comfortable & Stylish for Summer Adventures. Discover quality men's shorts designed for everyday style, comfort and eas","generic"
"gid://shopify/Product/8379407401149","Men's Linen Wide Leg Pants — Breathable All-Season","Men's Pants","mens-linen-wide-leg-casual-pants-are-loose-fitting-breathable-and-comfortable-suitable-for-all-seasons-and-versatile","Men's Linen Wide Leg Casual Pants Are Loose Fitting, Breathable And Comfortable, Suitable For All Seasons And Versatile - Vennix","SPECIFICATIONSApplicable Scene: BeachApplicable Season: Spring And AutumnBrand Name: NONECN: GuangdongClosure Type: Drawstring WaistColor: WhiteCraft of Weaving: KnitDetails: DrawstringFabric Elasticity: Non-StretchFeatures: Great quality,BreathableFit Type: regular,LooseHigh-concerned chemical: NoneIdeal for: UnisexLength: Ankle-Length Pants,LongLined For Added Warmth: NoMaterial: POLYESTER,Knitted FabricOccasion: Weekend CasualOrigin: Mainland ChinaPant Style: Cropped PantsPattern Type: PlainPlacket: Lace-upPockets: YesScenes: DailyStyle: Casual,Glamorous - Disco Style,Sports & Outdoor - AthleisureThickness: LightweightType: Casual PantsWaist Line: Low Waist Product description - Vennix","generic"
